















Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Duraludon, Whimsicott, Dracovish, Sylveon, Rotom-Heat, Conkeldurr
Togekiss, Lapras, Excadrill, Hitmontop, Chandelure, Whimsicott
Dragapult, Rillaboom, Tyranitar, Excadrill, Sylveon, Gengar
Hydreigon, Whimsicott, Durant, Drifblim, Weavile, Butterfree
Dragapult, Whimsicott, Indeedee-F, Togekiss, Rotom-Wash, Arcanine
Arcanine, Gyarados, Milotic, Galvantula, Silvally-*, Ferrothorn
Torkoal, Charizard, Venusaur, Tyranitar, Excadrill, Dusclops
Raichu, Gyarados, Hitmontop, Jellicent, Togekiss, Arcanine
Tyranitar, Excadrill, Rotom-Wash, Togekiss, Dragapult, Gyarados
Cinderace, Swoobat, Dragapult, Conkeldurr, Togekiss, Chandelure
Drifblim, Milotic, Mimikyu, Excadrill, Arcanine, Ferrothorn
Togekiss, Darmanitan-Galar, Indeedee-F, Rotom-Wash, Whimsicott, Mr. Rime
Sableye, Ludicolo, Indeedee-F, Corviknight, Darmanitan-Galar, Dragapult
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Pikachu, Dragapult, Togekiss, Whimsicott, Rotom-Wash, Excadrill
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Durant, Tyranitar, Togekiss, Rotom-Wash, Gothitelle, Incineroar
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Durant, Tyranitar, Togekiss, Rotom-Wash, Gothitelle, Incineroar
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Indeedee, Slurpuff, Togedemaru, Gyarados, Rotom-Heat, Rhyperior
Duraludon, Whimsicott, Dracovish, Sylveon, Rotom-Heat, Conkeldurr
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Mimikyu, Toxtricity, Incineroar, Mudsdale, Cinderace, Vaporeon
Machamp, Milotic, Dragapult, Togekiss, Tyranitar, Excadrill
Dragapult, Togekiss, Whimsicott, Ludicolo, Arcanine, Mudsdale
Whimsicott, Chandelure, Togekiss, Jellicent, Excadrill, Gyarados
Dusclops, Lapras, Togekiss, Roserade, Conkeldurr, Incineroar
Pikachu, Clefairy, Inteleon, Incineroar, Corviknight, Diggersby
Dracozolt, Whimsicott, Bisharp, Conkeldurr, Primarina, Chandelure
Hydreigon, Incineroar, Tyranitar, Crawdaunt, Bisharp, Grimmsnarl
Charizard, Venusaur, Torkoal, Persian-Alola, Gastrodon-East, Conkeldurr
Gastrodon-East, Venusaur, Togekiss, Durant, Incineroar, Dragapult
Incineroar, Gardevoir, Barraskewda, Togekiss, Gyarados, Snorlax
Grimmsnarl, Conkeldurr, Raichu, Dragapult, Coalossal, Gyarados
Galvantula, Indeedee-F, Barraskewda, Dusclops, Rhyperior, Conkeldurr
Mimikyu, Dusclops, Arcanine, Ferrothorn, Primarina, Dragapult
Dragapult, Bisharp, Charizard, Clefairy, Conkeldurr, Rotom-Wash
Mimikyu, Dusclops, Arcanine, Ferrothorn, Primarina, Dragapult
Dragapult, Bisharp, Charizard, Clefairy, Conkeldurr, Rotom-Wash
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Whimsicott, Dracovish, Gengar, Gardevoir, Duraludon, Hitmontop
Dusclops, Milotic, Arcanine, Braviary, Copperajah, Gyarados
Charizard, Primarina, Excadrill, Hitmontop, Mimikyu, Dragapult
Durant, Tyranitar, Togekiss, Rotom-Wash, Gothitelle, Incineroar
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Dragapult, Bisharp, Charizard, Clefairy, Conkeldurr, Rotom-Wash
Mimikyu, Dusclops, Arcanine, Ferrothorn, Primarina, Dragapult
Charizard, Torkoal, Oranguru, Sylveon, Rhydon, Scrafty
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Ninetales-Alola, Dracozolt, Ferrothorn, Inteleon, Tyranitar, Braviary
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Togekiss, Durant, Milotic, Tyranitar, Roserade, Incineroar
Duraludon, Whimsicott, Dracovish, Sylveon, Rotom-Heat, Conkeldurr
Mamoswine, Whimsicott, Chandelure, Conkeldurr, Dracozolt, Rotom-Wash
Lapras, Dusclops, Conkeldurr, Togekiss, Tyranitar, Mimikyu
Corviknight, Ferrothorn, Dusclops, Hatterene, Indeedee-F, Milotic
Sigilyph, Weezing-Galar, Accelgor, Indeedee-F, Stunfisk, Conkeldurr
Pikachu, Ludicolo, Pelipper, Whimsicott, Jellicent, Kommo-o
Corviknight, Excadrill, Tyranitar, Incineroar, Sylveon, Gastrodon-East
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Dragapult, Rotom-Mow, Excadrill, Incineroar, Blastoise, Whimsicott
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Lapras, Togekiss, Duraludon, Scrafty, Whimsicott, Mamoswine
Machamp, Milotic, Dragapult, Togekiss, Tyranitar, Excadrill
Hitmontop, Whimsicott, Machamp, Lapras, Chandelure, Togekiss
Incineroar, Milotic, Braviary, Gigalith, Whimsicott, Dusclops
Clefable, Milotic, Dubwool, Dusclops, Dracozolt, Rhyperior
Sylveon, Milotic, Tyranitar, Durant, Gothitelle, Arcanine
Galvantula, Indeedee-F, Barraskewda, Dusclops, Rhyperior, Conkeldurr
Snorlax, Mimikyu, Scrafty, Salazzle, Vikavolt, Trevenant
Grapploct, Gothitelle, Gengar, Drifblim, Vileplume, Lapras
Vikavolt, Araquanid, Conkeldurr, Dusclops, Butterfree, Jellicent
